date,PHG stock,isPartial
2018-12-01,0,False
2018-12-02,0,False
2018-12-03,43,False
2018-12-04,44,False
2018-12-05,44,False
2018-12-06,89,False
2018-12-07,46,False
2018-12-08,0,False
2018-12-09,0,False
2018-12-10,67,False
2018-12-11,89,False
2018-12-12,46,False
2018-12-13,46,False
2018-12-14,0,False
2018-12-15,53,False
2018-12-16,0,False
2018-12-17,42,False
2018-12-18,43,False
2018-12-19,0,False
2018-12-20,0,False
2018-12-21,0,False
2018-12-22,0,False
2018-12-23,0,False
2018-12-24,0,False
2018-12-25,0,False
2018-12-26,100,False
2018-12-27,0,False
2018-12-28,49,False
2018-12-29,52,False
2018-12-30,0,False
2018-12-31,52,False
