date,PFE stock,isPartial
2016-03-01,92,False
2016-03-02,70,False
2016-03-03,66,False
2016-03-04,38,False
2016-03-05,14,False
2016-03-06,0,False
2016-03-07,49,False
2016-03-08,49,False
2016-03-09,66,False
2016-03-10,42,False
2016-03-11,82,False
2016-03-12,19,False
2016-03-13,18,False
2016-03-14,99,False
2016-03-15,58,False
2016-03-16,90,False
2016-03-17,63,False
2016-03-18,44,False
2016-03-19,19,False
2016-03-20,9,False
2016-03-21,46,False
2016-03-22,63,False
2016-03-23,97,False
2016-03-24,92,False
2016-03-25,33,False
2016-03-26,30,False
2016-03-27,25,False
2016-03-28,22,False
2016-03-29,54,False
2016-03-30,100,False
2016-03-31,58,False
