date,COST stock,isPartial
2016-07-01,61,False
2016-07-02,65,False
2016-07-03,50,False
2016-07-04,63,False
2016-07-05,85,False
2016-07-06,71,False
2016-07-07,99,False
2016-07-08,81,False
2016-07-09,46,False
2016-07-10,61,False
2016-07-11,98,False
2016-07-12,97,False
2016-07-13,91,False
2016-07-14,79,False
2016-07-15,91,False
2016-07-16,54,False
2016-07-17,60,False
2016-07-18,94,False
2016-07-19,74,False
2016-07-20,78,False
2016-07-21,88,False
2016-07-22,81,False
2016-07-23,55,False
2016-07-24,55,False
2016-07-25,93,False
2016-07-26,90,False
2016-07-27,66,False
2016-07-28,96,False
2016-07-29,100,False
2016-07-30,53,False
2016-07-31,59,False
