date,SYMC stock,isPartial
2013-06-01,0,False
2013-06-02,56,False
2013-06-03,70,False
2013-06-04,47,False
2013-06-05,0,False
2013-06-06,48,False
2013-06-07,50,False
2013-06-08,58,False
2013-06-09,57,False
2013-06-10,47,False
2013-06-11,69,False
2013-06-12,0,False
2013-06-13,48,False
2013-06-14,51,False
2013-06-15,58,False
2013-06-16,0,False
2013-06-17,47,False
2013-06-18,96,False
2013-06-19,0,False
2013-06-20,48,False
2013-06-21,52,False
2013-06-22,0,False
2013-06-23,0,False
2013-06-24,0,False
2013-06-25,48,False
2013-06-26,48,False
2013-06-27,0,False
2013-06-28,100,False
2013-06-29,0,False
2013-06-30,0,False
