date,EA stock,isPartial
2019-03-01,83,False
2019-03-02,29,False
2019-03-03,34,False
2019-03-04,83,False
2019-03-05,100,False
2019-03-06,81,False
2019-03-07,65,False
2019-03-08,60,False
2019-03-09,31,False
2019-03-10,16,False
2019-03-11,56,False
2019-03-12,55,False
2019-03-13,64,False
2019-03-14,70,False
2019-03-15,45,False
2019-03-16,21,False
2019-03-17,17,False
2019-03-18,62,False
2019-03-19,75,False
2019-03-20,64,False
2019-03-21,73,False
2019-03-22,90,False
2019-03-23,18,False
2019-03-24,13,False
2019-03-25,31,False
2019-03-26,69,False
2019-03-27,60,False
2019-03-28,54,False
2019-03-29,54,False
2019-03-30,14,False
2019-03-31,9,False
