date,GOOG stock,isPartial
2013-08-01,100,False
2013-08-02,75,False
2013-08-03,44,False
2013-08-04,30,False
2013-08-05,46,False
2013-08-06,69,False
2013-08-07,69,False
2013-08-08,76,False
2013-08-09,78,False
2013-08-10,27,False
2013-08-11,30,False
2013-08-12,68,False
2013-08-13,65,False
2013-08-14,94,False
2013-08-15,86,False
2013-08-16,72,False
2013-08-17,80,False
2013-08-18,52,False
2013-08-19,81,False
2013-08-20,88,False
2013-08-21,56,False
2013-08-22,85,False
2013-08-23,87,False
2013-08-24,32,False
2013-08-25,41,False
2013-08-26,89,False
2013-08-27,52,False
2013-08-28,50,False
2013-08-29,77,False
2013-08-30,64,False
2013-08-31,32,False
