date,HAS stock,isPartial
2016-06-01,40,False
2016-06-02,42,False
2016-06-03,36,False
2016-06-04,24,False
2016-06-05,39,False
2016-06-06,41,False
2016-06-07,48,False
2016-06-08,44,False
2016-06-09,40,False
2016-06-10,30,False
2016-06-11,36,False
2016-06-12,38,False
2016-06-13,46,False
2016-06-14,39,False
2016-06-15,49,False
2016-06-16,46,False
2016-06-17,44,False
2016-06-18,49,False
2016-06-19,36,False
2016-06-20,49,False
2016-06-21,39,False
2016-06-22,39,False
2016-06-23,41,False
2016-06-24,100,False
2016-06-25,41,False
2016-06-26,47,False
2016-06-27,44,False
2016-06-28,61,False
2016-06-29,59,False
2016-06-30,58,False
