date,BA stock,isPartial
2012-09-01,71,False
2012-09-02,0,False
2012-09-03,44,False
2012-09-04,43,False
2012-09-05,28,False
2012-09-06,58,False
2012-09-07,30,False
2012-09-08,0,False
2012-09-09,0,False
2012-09-10,42,False
2012-09-11,28,False
2012-09-12,42,False
2012-09-13,100,False
2012-09-14,44,False
2012-09-15,0,False
2012-09-16,0,False
2012-09-17,0,False
2012-09-18,84,False
2012-09-19,56,False
2012-09-20,71,False
2012-09-21,44,False
2012-09-22,34,False
2012-09-23,50,False
2012-09-24,28,False
2012-09-25,69,False
2012-09-26,56,False
2012-09-27,0,False
2012-09-28,30,False
2012-09-29,0,False
2012-09-30,33,False
