date,DIS stock,isPartial
2016-07-01,46,False
2016-07-02,17,False
2016-07-03,23,False
2016-07-04,15,False
2016-07-05,80,False
2016-07-06,82,False
2016-07-07,93,False
2016-07-08,69,False
2016-07-09,24,False
2016-07-10,17,False
2016-07-11,100,False
2016-07-12,79,False
2016-07-13,56,False
2016-07-14,92,False
2016-07-15,52,False
2016-07-16,17,False
2016-07-17,6,False
2016-07-18,50,False
2016-07-19,30,False
2016-07-20,60,False
2016-07-21,67,False
2016-07-22,79,False
2016-07-23,24,False
2016-07-24,12,False
2016-07-25,35,False
2016-07-26,74,False
2016-07-27,55,False
2016-07-28,55,False
2016-07-29,42,False
2016-07-30,23,False
2016-07-31,6,False
