date,PFE stock,isPartial
2016-02-01,53,False
2016-02-02,52,False
2016-02-03,45,False
2016-02-04,58,False
2016-02-05,30,False
2016-02-06,24,False
2016-02-07,28,False
2016-02-08,66,False
2016-02-09,58,False
2016-02-10,69,False
2016-02-11,41,False
2016-02-12,76,False
2016-02-13,46,False
2016-02-14,18,False
2016-02-15,20,False
2016-02-16,52,False
2016-02-17,73,False
2016-02-18,45,False
2016-02-19,62,False
2016-02-20,37,False
2016-02-21,9,False
2016-02-22,87,False
2016-02-23,51,False
2016-02-24,100,False
2016-02-25,85,False
2016-02-26,63,False
2016-02-27,18,False
2016-02-28,0,False
2016-02-29,51,False
