date,PEP stock,isPartial
2016-04-01,39,False
2016-04-02,51,False
2016-04-03,43,False
2016-04-04,56,False
2016-04-05,44,False
2016-04-06,50,False
2016-04-07,38,False
2016-04-08,39,False
2016-04-09,29,False
2016-04-10,43,False
2016-04-11,19,False
2016-04-12,31,False
2016-04-13,32,False
2016-04-14,38,False
2016-04-15,66,False
2016-04-16,33,False
2016-04-17,22,False
2016-04-18,100,False
2016-04-19,75,False
2016-04-20,28,False
2016-04-21,86,False
2016-04-22,33,False
2016-04-23,22,False
2016-04-24,21,False
2016-04-25,56,False
2016-04-26,81,False
2016-04-27,56,False
2016-04-28,51,False
2016-04-29,26,False
2016-04-30,44,False
