date,GS stock,isPartial
2017-03-01,95,False
2017-03-02,61,False
2017-03-03,70,False
2017-03-04,17,False
2017-03-05,8,False
2017-03-06,75,False
2017-03-07,66,False
2017-03-08,52,False
2017-03-09,52,False
2017-03-10,60,False
2017-03-11,22,False
2017-03-12,11,False
2017-03-13,70,False
2017-03-14,60,False
2017-03-15,40,False
2017-03-16,41,False
2017-03-17,69,False
2017-03-18,23,False
2017-03-19,14,False
2017-03-20,45,False
2017-03-21,88,False
2017-03-22,100,False
2017-03-23,63,False
2017-03-24,68,False
2017-03-25,24,False
2017-03-26,22,False
2017-03-27,75,False
2017-03-28,79,False
2017-03-29,58,False
2017-03-30,52,False
2017-03-31,50,False
