date,GILD stock,isPartial
2016-01-01,6,False
2016-01-02,17,False
2016-01-03,0,False
2016-01-04,41,False
2016-01-05,42,False
2016-01-06,63,False
2016-01-07,46,False
2016-01-08,32,False
2016-01-09,11,False
2016-01-10,8,False
2016-01-11,47,False
2016-01-12,38,False
2016-01-13,53,False
2016-01-14,51,False
2016-01-15,48,False
2016-01-16,15,False
2016-01-17,16,False
2016-01-18,11,False
2016-01-19,37,False
2016-01-20,75,False
2016-01-21,44,False
2016-01-22,33,False
2016-01-23,9,False
2016-01-24,8,False
2016-01-25,36,False
2016-01-26,48,False
2016-01-27,38,False
2016-01-28,47,False
2016-01-29,100,False
2016-01-30,22,False
2016-01-31,16,False
