date,SIRI stock,isPartial
2014-04-01,60,False
2014-04-02,79,False
2014-04-03,100,False
2014-04-04,59,False
2014-04-05,41,False
2014-04-06,15,False
2014-04-07,56,False
2014-04-08,52,False
2014-04-09,65,False
2014-04-10,93,False
2014-04-11,79,False
2014-04-12,21,False
2014-04-13,42,False
2014-04-14,48,False
2014-04-15,70,False
2014-04-16,80,False
2014-04-17,80,False
2014-04-18,56,False
2014-04-19,27,False
2014-04-20,11,False
2014-04-21,43,False
2014-04-22,52,False
2014-04-23,52,False
2014-04-24,66,False
2014-04-25,65,False
2014-04-26,21,False
2014-04-27,25,False
2014-04-28,73,False
2014-04-29,51,False
2014-04-30,75,False
