date,AAPL stock,isPartial
2017-10-01,7,False
2017-10-02,56,False
2017-10-03,62,False
2017-10-04,61,False
2017-10-05,57,False
2017-10-06,52,False
2017-10-07,10,False
2017-10-08,9,False
2017-10-09,55,False
2017-10-10,54,False
2017-10-11,59,False
2017-10-12,54,False
2017-10-13,45,False
2017-10-14,11,False
2017-10-15,7,False
2017-10-16,59,False
2017-10-17,71,False
2017-10-18,59,False
2017-10-19,82,False
2017-10-20,69,False
2017-10-21,12,False
2017-10-22,10,False
2017-10-23,58,False
2017-10-24,62,False
2017-10-25,52,False
2017-10-26,74,False
2017-10-27,99,False
2017-10-28,28,False
2017-10-29,12,False
2017-10-30,83,False
2017-10-31,100,False
