date,AMD,isPartial
2013-01-01,89,False
2013-01-02,95,False
2013-01-03,89,False
2013-01-04,90,False
2013-01-05,99,False
2013-01-06,92,False
2013-01-07,85,False
2013-01-08,93,False
2013-01-09,92,False
2013-01-10,93,False
2013-01-11,89,False
2013-01-12,95,False
2013-01-13,97,False
2013-01-14,88,False
2013-01-15,86,False
2013-01-16,87,False
2013-01-17,90,False
2013-01-18,94,False
2013-01-19,98,False
2013-01-20,93,False
2013-01-21,89,False
2013-01-22,93,False
2013-01-23,100,False
2013-01-24,94,False
2013-01-25,93,False
2013-01-26,90,False
2013-01-27,93,False
2013-01-28,90,False
2013-01-29,86,False
2013-01-30,83,False
2013-01-31,81,False
