date,GILD stock,isPartial
2017-06-01,41,False
2017-06-02,26,False
2017-06-03,16,False
2017-06-04,10,False
2017-06-05,24,False
2017-06-06,41,False
2017-06-07,35,False
2017-06-08,35,False
2017-06-09,23,False
2017-06-10,10,False
2017-06-11,16,False
2017-06-12,24,False
2017-06-13,32,False
2017-06-14,66,False
2017-06-15,27,False
2017-06-16,53,False
2017-06-17,8,False
2017-06-18,5,False
2017-06-19,22,False
2017-06-20,38,False
2017-06-21,59,False
2017-06-22,88,False
2017-06-23,100,False
2017-06-24,20,False
2017-06-25,13,False
2017-06-26,51,False
2017-06-27,52,False
2017-06-28,55,False
2017-06-29,66,False
2017-06-30,40,False
