date,SBUX stock,isPartial
2012-01-01,83,False
2012-01-02,32,False
2012-01-03,44,False
2012-01-04,44,False
2012-01-05,44,False
2012-01-06,46,False
2012-01-07,0,False
2012-01-08,34,False
2012-01-09,29,False
2012-01-10,28,False
2012-01-11,0,False
2012-01-12,0,False
2012-01-13,59,False
2012-01-14,34,False
2012-01-15,0,False
2012-01-16,0,False
2012-01-17,55,False
2012-01-18,42,False
2012-01-19,0,False
2012-01-20,58,False
2012-01-21,33,False
2012-01-22,0,False
2012-01-23,28,False
2012-01-24,70,False
2012-01-25,28,False
2012-01-26,100,False
2012-01-27,58,False
2012-01-28,68,False
2012-01-29,0,False
2012-01-30,37,False
2012-01-31,27,False
