date,HAS stock,isPartial
2016-04-01,45,False
2016-04-02,41,False
2016-04-03,54,False
2016-04-04,76,False
2016-04-05,79,False
2016-04-06,67,False
2016-04-07,70,False
2016-04-08,73,False
2016-04-09,43,False
2016-04-10,66,False
2016-04-11,84,False
2016-04-12,77,False
2016-04-13,75,False
2016-04-14,86,False
2016-04-15,49,False
2016-04-16,53,False
2016-04-17,66,False
2016-04-18,96,False
2016-04-19,89,False
2016-04-20,100,False
2016-04-21,81,False
2016-04-22,62,False
2016-04-23,56,False
2016-04-24,65,False
2016-04-25,80,False
2016-04-26,93,False
2016-04-27,73,False
2016-04-28,90,False
2016-04-29,82,False
2016-04-30,55,False
