date,AAPL stock,isPartial
2017-05-01,51,False
2017-05-02,100,False
2017-05-03,92,False
2017-05-04,50,False
2017-05-05,48,False
2017-05-06,11,False
2017-05-07,8,False
2017-05-08,71,False
2017-05-09,71,False
2017-05-10,64,False
2017-05-11,45,False
2017-05-12,46,False
2017-05-13,13,False
2017-05-14,6,False
2017-05-15,44,False
2017-05-16,46,False
2017-05-17,52,False
2017-05-18,54,False
2017-05-19,40,False
2017-05-20,13,False
2017-05-21,7,False
2017-05-22,47,False
2017-05-23,32,False
2017-05-24,39,False
2017-05-25,43,False
2017-05-26,38,False
2017-05-27,11,False
2017-05-28,3,False
2017-05-29,8,False
2017-05-30,40,False
2017-05-31,39,False
