date,IBM stock,isPartial
2016-04-01,45,False
2016-04-02,13,False
2016-04-03,9,False
2016-04-04,30,False
2016-04-05,31,False
2016-04-06,31,False
2016-04-07,32,False
2016-04-08,30,False
2016-04-09,12,False
2016-04-10,12,False
2016-04-11,33,False
2016-04-12,28,False
2016-04-13,30,False
2016-04-14,34,False
2016-04-15,30,False
2016-04-16,15,False
2016-04-17,9,False
2016-04-18,67,False
2016-04-19,100,False
2016-04-20,60,False
2016-04-21,40,False
2016-04-22,41,False
2016-04-23,17,False
2016-04-24,10,False
2016-04-25,31,False
2016-04-26,34,False
2016-04-27,34,False
2016-04-28,30,False
2016-04-29,32,False
2016-04-30,8,False
