date,PEP stock,isPartial
2013-02-01,0,False
2013-02-02,0,False
2013-02-03,0,False
2013-02-04,57,False
2013-02-05,57,False
2013-02-06,57,False
2013-02-07,29,False
2013-02-08,30,False
2013-02-09,0,False
2013-02-10,35,False
2013-02-11,87,False
2013-02-12,60,False
2013-02-13,29,False
2013-02-14,74,False
2013-02-15,61,False
2013-02-16,34,False
2013-02-17,34,False
2013-02-18,29,False
2013-02-19,57,False
2013-02-20,57,False
2013-02-21,100,False
2013-02-22,59,False
2013-02-23,34,False
2013-02-24,50,False
2013-02-25,28,False
2013-02-26,42,False
2013-02-27,57,False
2013-02-28,38,False
