date,EBAY stock,isPartial
2013-03-01,87,False
2013-03-02,60,False
2013-03-03,68,False
2013-03-04,83,False
2013-03-05,80,False
2013-03-06,100,False
2013-03-07,77,False
2013-03-08,78,False
2013-03-09,72,False
2013-03-10,68,False
2013-03-11,85,False
2013-03-12,72,False
2013-03-13,92,False
2013-03-14,94,False
2013-03-15,86,False
2013-03-16,61,False
2013-03-17,74,False
2013-03-18,96,False
2013-03-19,90,False
2013-03-20,89,False
2013-03-21,79,False
2013-03-22,84,False
2013-03-23,67,False
2013-03-24,79,False
2013-03-25,77,False
2013-03-26,85,False
2013-03-27,78,False
2013-03-28,86,False
2013-03-29,73,False
2013-03-30,71,False
2013-03-31,66,False
