date,MSFT stock,isPartial
2012-02-01,83,False
2012-02-02,55,False
2012-02-03,87,False
2012-02-04,22,False
2012-02-05,22,False
2012-02-06,37,False
2012-02-07,46,False
2012-02-08,100,False
2012-02-09,83,False
2012-02-10,76,False
2012-02-11,44,False
2012-02-12,32,False
2012-02-13,45,False
2012-02-14,74,False
2012-02-15,56,False
2012-02-16,84,False
2012-02-17,87,False
2012-02-18,45,False
2012-02-19,45,False
2012-02-20,57,False
2012-02-21,66,False
2012-02-22,28,False
2012-02-23,28,False
2012-02-24,67,False
2012-02-25,33,False
2012-02-26,44,False
2012-02-27,63,False
2012-02-28,63,False
2012-02-29,90,False
