date,GOOG stock,isPartial
2014-04-01,29,False
2014-04-02,24,False
2014-04-03,100,False
2014-04-04,69,False
2014-04-05,20,False
2014-04-06,10,False
2014-04-07,42,False
2014-04-08,21,False
2014-04-09,29,False
2014-04-10,17,False
2014-04-11,20,False
2014-04-12,17,False
2014-04-13,12,False
2014-04-14,19,False
2014-04-15,33,False
2014-04-16,57,False
2014-04-17,76,False
2014-04-18,13,False
2014-04-19,5,False
2014-04-20,15,False
2014-04-21,33,False
2014-04-22,39,False
2014-04-23,24,False
2014-04-24,26,False
2014-04-25,22,False
2014-04-26,14,False
2014-04-27,3,False
2014-04-28,23,False
2014-04-29,16,False
2014-04-30,31,False
