date,GS stock,isPartial
2014-03-01,89,False
2014-03-02,29,False
2014-03-03,51,False
2014-03-04,77,False
2014-03-05,77,False
2014-03-06,59,False
2014-03-07,36,False
2014-03-08,30,False
2014-03-09,45,False
2014-03-10,84,False
2014-03-11,67,False
2014-03-12,59,False
2014-03-13,76,False
2014-03-14,27,False
2014-03-15,30,False
2014-03-16,59,False
2014-03-17,76,False
2014-03-18,75,False
2014-03-19,50,False
2014-03-20,51,False
2014-03-21,40,False
2014-03-22,60,False
2014-03-23,29,False
2014-03-24,41,False
2014-03-25,49,False
2014-03-26,100,False
2014-03-27,51,False
2014-03-28,35,False
2014-03-29,30,False
2014-03-30,30,False
2014-03-31,58,False
