date,SYMC stock,isPartial
2014-07-01,93,False
2014-07-02,48,False
2014-07-03,0,False
2014-07-04,52,False
2014-07-05,0,False
2014-07-06,58,False
2014-07-07,94,False
2014-07-08,93,False
2014-07-09,48,False
2014-07-10,48,False
2014-07-11,49,False
2014-07-12,57,False
2014-07-13,56,False
2014-07-14,47,False
2014-07-15,0,False
2014-07-16,48,False
2014-07-17,49,False
2014-07-18,49,False
2014-07-19,0,False
2014-07-20,0,False
2014-07-21,0,False
2014-07-22,70,False
2014-07-23,48,False
2014-07-24,48,False
2014-07-25,100,False
2014-07-26,0,False
2014-07-27,0,False
2014-07-28,48,False
2014-07-29,0,False
2014-07-30,48,False
2014-07-31,49,False
