date,INTC stock,isPartial
2015-08-01,8,False
2015-08-02,8,False
2015-08-03,13,False
2015-08-04,33,False
2015-08-05,50,False
2015-08-06,51,False
2015-08-07,25,False
2015-08-08,8,False
2015-08-09,16,False
2015-08-10,53,False
2015-08-11,30,False
2015-08-12,40,False
2015-08-13,24,False
2015-08-14,45,False
2015-08-15,24,False
2015-08-16,8,False
2015-08-17,50,False
2015-08-18,30,False
2015-08-19,37,False
2015-08-20,47,False
2015-08-21,65,False
2015-08-22,28,False
2015-08-23,12,False
2015-08-24,99,False
2015-08-25,100,False
2015-08-26,78,False
2015-08-27,56,False
2015-08-28,51,False
2015-08-29,23,False
2015-08-30,19,False
2015-08-31,22,False
