date,TWTR,isPartial
2012-07-01,40,False
2012-07-02,0,False
2012-07-03,64,False
2012-07-04,0,False
2012-07-05,34,False
2012-07-06,34,False
2012-07-07,0,False
2012-07-08,40,False
2012-07-09,0,False
2012-07-10,32,False
2012-07-11,0,False
2012-07-12,0,False
2012-07-13,0,False
2012-07-14,41,False
2012-07-15,0,False
2012-07-16,32,False
2012-07-17,65,False
2012-07-18,99,False
2012-07-19,33,False
2012-07-20,69,False
2012-07-21,84,False
2012-07-22,82,False
2012-07-23,33,False
2012-07-24,0,False
2012-07-25,33,False
2012-07-26,100,False
2012-07-27,35,False
2012-07-28,82,False
2012-07-29,41,False
2012-07-30,0,False
2012-07-31,0,False
