date,HAS stock,isPartial
2013-09-01,35,False
2013-09-02,30,False
2013-09-03,65,False
2013-09-04,36,False
2013-09-05,58,False
2013-09-06,51,False
2013-09-07,28,False
2013-09-08,52,False
2013-09-09,42,False
2013-09-10,45,False
2013-09-11,63,False
2013-09-12,44,False
2013-09-13,53,False
2013-09-14,59,False
2013-09-15,42,False
2013-09-16,73,False
2013-09-17,54,False
2013-09-18,47,False
2013-09-19,94,False
2013-09-20,79,False
2013-09-21,100,False
2013-09-22,53,False
2013-09-23,74,False
2013-09-24,79,False
2013-09-25,72,False
2013-09-26,58,False
2013-09-27,73,False
2013-09-28,43,False
2013-09-29,75,False
2013-09-30,75,False
