date,INTC stock,isPartial
2014-04-01,46,False
2014-04-02,12,False
2014-04-03,71,False
2014-04-04,72,False
2014-04-05,14,False
2014-04-06,27,False
2014-04-07,34,False
2014-04-08,46,False
2014-04-09,58,False
2014-04-10,47,False
2014-04-11,74,False
2014-04-12,28,False
2014-04-13,28,False
2014-04-14,47,False
2014-04-15,93,False
2014-04-16,83,False
2014-04-17,100,False
2014-04-18,40,False
2014-04-19,15,False
2014-04-20,44,False
2014-04-21,63,False
2014-04-22,92,False
2014-04-23,12,False
2014-04-24,23,False
2014-04-25,25,False
2014-04-26,14,False
2014-04-27,0,False
2014-04-28,12,False
2014-04-29,23,False
2014-04-30,95,False
