date,PHG stock,isPartial
2016-06-01,47,False
2016-06-02,0,False
2016-06-03,66,False
2016-06-04,0,False
2016-06-05,0,False
2016-06-06,31,False
2016-06-07,31,False
2016-06-08,63,False
2016-06-09,0,False
2016-06-10,33,False
2016-06-11,0,False
2016-06-12,0,False
2016-06-13,0,False
2016-06-14,31,False
2016-06-15,0,False
2016-06-16,31,False
2016-06-17,33,False
2016-06-18,38,False
2016-06-19,37,False
2016-06-20,32,False
2016-06-21,0,False
2016-06-22,32,False
2016-06-23,32,False
2016-06-24,100,False
2016-06-25,0,False
2016-06-26,37,False
2016-06-27,31,False
2016-06-28,31,False
2016-06-29,48,False
2016-06-30,65,False
