date,TSLA stock,isPartial
2013-02-01,100,False
2013-02-02,45,False
2013-02-03,22,False
2013-02-04,19,False
2013-02-05,56,False
2013-02-06,19,False
2013-02-07,58,False
2013-02-08,0,False
2013-02-09,23,False
2013-02-10,0,False
2013-02-11,38,False
2013-02-12,39,False
2013-02-13,19,False
2013-02-14,38,False
2013-02-15,0,False
2013-02-16,45,False
2013-02-17,22,False
2013-02-18,0,False
2013-02-19,56,False
2013-02-20,93,False
2013-02-21,95,False
2013-02-22,0,False
2013-02-23,0,False
2013-02-24,0,False
2013-02-25,54,False
2013-02-26,55,False
2013-02-27,56,False
2013-02-28,38,False
