date,EA stock,isPartial
2013-09-01,23,False
2013-09-02,13,False
2013-09-03,34,False
2013-09-04,77,False
2013-09-05,35,False
2013-09-06,36,False
2013-09-07,31,False
2013-09-08,20,False
2013-09-09,55,False
2013-09-10,37,False
2013-09-11,29,False
2013-09-12,38,False
2013-09-13,22,False
2013-09-14,30,False
2013-09-15,37,False
2013-09-16,29,False
2013-09-17,100,False
2013-09-18,92,False
2013-09-19,64,False
2013-09-20,45,False
2013-09-21,23,False
2013-09-22,22,False
2013-09-23,29,False
2013-09-24,50,False
2013-09-25,38,False
2013-09-26,47,False
2013-09-27,36,False
2013-09-28,53,False
2013-09-29,22,False
2013-09-30,29,False
