date,BA stock,isPartial
2018-05-01,84,False
2018-05-02,79,False
2018-05-03,69,False
2018-05-04,64,False
2018-05-05,11,False
2018-05-06,10,False
2018-05-07,62,False
2018-05-08,72,False
2018-05-09,99,False
2018-05-10,74,False
2018-05-11,68,False
2018-05-12,10,False
2018-05-13,10,False
2018-05-14,72,False
2018-05-15,63,False
2018-05-16,48,False
2018-05-17,60,False
2018-05-18,75,False
2018-05-19,11,False
2018-05-20,19,False
2018-05-21,100,False
2018-05-22,85,False
2018-05-23,66,False
2018-05-24,72,False
2018-05-25,66,False
2018-05-26,6,False
2018-05-27,6,False
2018-05-28,9,False
2018-05-29,60,False
2018-05-30,55,False
2018-05-31,51,False
