date,IBM stock,isPartial
2013-06-01,28,False
2013-06-02,26,False
2013-06-03,44,False
2013-06-04,86,False
2013-06-05,100,False
2013-06-06,59,False
2013-06-07,81,False
2013-06-08,21,False
2013-06-09,25,False
2013-06-10,60,False
2013-06-11,60,False
2013-06-12,73,False
2013-06-13,85,False
2013-06-14,75,False
2013-06-15,23,False
2013-06-16,30,False
2013-06-17,63,False
2013-06-18,60,False
2013-06-19,54,False
2013-06-20,84,False
2013-06-21,79,False
2013-06-22,33,False
2013-06-23,15,False
2013-06-24,72,False
2013-06-25,68,False
2013-06-26,78,False
2013-06-27,55,False
2013-06-28,92,False
2013-06-29,48,False
2013-06-30,27,False
