date,GS stock,isPartial
2013-05-01,29,False
2013-05-02,41,False
2013-05-03,100,False
2013-05-04,32,False
2013-05-05,49,False
2013-05-06,27,False
2013-05-07,53,False
2013-05-08,41,False
2013-05-09,55,False
2013-05-10,43,False
2013-05-11,0,False
2013-05-12,32,False
2013-05-13,0,False
2013-05-14,79,False
2013-05-15,26,False
2013-05-16,27,False
2013-05-17,0,False
2013-05-18,65,False
2013-05-19,32,False
2013-05-20,53,False
2013-05-21,78,False
2013-05-22,79,False
2013-05-23,26,False
2013-05-24,42,False
2013-05-25,33,False
2013-05-26,32,False
2013-05-27,0,False
2013-05-28,52,False
2013-05-29,52,False
2013-05-30,41,False
2013-05-31,0,False
