date,MU stock,isPartial
2019-02-01,66,False
2019-02-02,17,False
2019-02-03,11,False
2019-02-04,74,False
2019-02-05,61,False
2019-02-06,97,False
2019-02-07,71,False
2019-02-08,76,False
2019-02-09,21,False
2019-02-10,8,False
2019-02-11,61,False
2019-02-12,59,False
2019-02-13,97,False
2019-02-14,100,False
2019-02-15,83,False
2019-02-16,24,False
2019-02-17,7,False
2019-02-18,27,False
2019-02-19,60,False
2019-02-20,73,False
2019-02-21,62,False
2019-02-22,64,False
2019-02-23,22,False
2019-02-24,8,False
2019-02-25,80,False
2019-02-26,81,False
2019-02-27,55,False
2019-02-28,66,False
