date,MCD stock,isPartial
2018-11-01,73,False
2018-11-02,77,False
2018-11-03,28,False
2018-11-04,13,False
2018-11-05,78,False
2018-11-06,53,False
2018-11-07,49,False
2018-11-08,69,False
2018-11-09,40,False
2018-11-10,33,False
2018-11-11,13,False
2018-11-12,84,False
2018-11-13,62,False
2018-11-14,53,False
2018-11-15,51,False
2018-11-16,67,False
2018-11-17,31,False
2018-11-18,16,False
2018-11-19,58,False
2018-11-20,50,False
2018-11-21,47,False
2018-11-22,32,False
2018-11-23,27,False
2018-11-24,8,False
2018-11-25,16,False
2018-11-26,44,False
2018-11-27,54,False
2018-11-28,69,False
2018-11-29,90,False
2018-11-30,100,False
