date,GOOG stock,isPartial
2015-04-01,33,False
2015-04-02,41,False
2015-04-03,42,False
2015-04-04,10,False
2015-04-05,10,False
2015-04-06,28,False
2015-04-07,45,False
2015-04-08,24,False
2015-04-09,41,False
2015-04-10,21,False
2015-04-11,15,False
2015-04-12,15,False
2015-04-13,21,False
2015-04-14,32,False
2015-04-15,37,False
2015-04-16,34,False
2015-04-17,34,False
2015-04-18,17,False
2015-04-19,11,False
2015-04-20,48,False
2015-04-21,28,False
2015-04-22,39,False
2015-04-23,87,False
2015-04-24,100,False
2015-04-25,34,False
2015-04-26,17,False
2015-04-27,56,False
2015-04-28,36,False
2015-04-29,35,False
2015-04-30,41,False
