date,MCD stock,isPartial
2012-01-01,27,False
2012-01-02,42,False
2012-01-03,46,False
2012-01-04,20,False
2012-01-05,40,False
2012-01-06,96,False
2012-01-07,0,False
2012-01-08,23,False
2012-01-09,48,False
2012-01-10,51,False
2012-01-11,70,False
2012-01-12,38,False
2012-01-13,33,False
2012-01-14,0,False
2012-01-15,0,False
2012-01-16,44,False
2012-01-17,31,False
2012-01-18,19,False
2012-01-19,44,False
2012-01-20,79,False
2012-01-21,38,False
2012-01-22,23,False
2012-01-23,47,False
2012-01-24,100,False
2012-01-25,76,False
2012-01-26,90,False
2012-01-27,46,False
2012-01-28,46,False
2012-01-29,30,False
2012-01-30,37,False
2012-01-31,37,False
