date,HAS stock,isPartial
2013-04-01,68,False
2013-04-02,77,False
2013-04-03,65,False
2013-04-04,67,False
2013-04-05,70,False
2013-04-06,68,False
2013-04-07,72,False
2013-04-08,80,False
2013-04-09,66,False
2013-04-10,71,False
2013-04-11,74,False
2013-04-12,64,False
2013-04-13,53,False
2013-04-14,73,False
2013-04-15,88,False
2013-04-16,94,False
2013-04-17,75,False
2013-04-18,72,False
2013-04-19,88,False
2013-04-20,60,False
2013-04-21,80,False
2013-04-22,83,False
2013-04-23,71,False
2013-04-24,93,False
2013-04-25,82,False
2013-04-26,72,False
2013-04-27,50,False
2013-04-28,38,False
2013-04-29,71,False
2013-04-30,100,False
