date,KO stock,isPartial
2012-08-01,36,False
2012-08-02,21,False
2012-08-03,30,False
2012-08-04,9,False
2012-08-05,0,False
2012-08-06,50,False
2012-08-07,43,False
2012-08-08,36,False
2012-08-09,29,False
2012-08-10,22,False
2012-08-11,35,False
2012-08-12,9,False
2012-08-13,100,False
2012-08-14,71,False
2012-08-15,44,False
2012-08-16,22,False
2012-08-17,23,False
2012-08-18,18,False
2012-08-19,18,False
2012-08-20,37,False
2012-08-21,29,False
2012-08-22,35,False
2012-08-23,36,False
2012-08-24,52,False
2012-08-25,0,False
2012-08-26,8,False
2012-08-27,27,False
2012-08-28,28,False
2012-08-29,7,False
2012-08-30,21,False
2012-08-31,14,False
