date,MU stock,isPartial
2013-12-01,9,False
2013-12-02,47,False
2013-12-03,48,False
2013-12-04,24,False
2013-12-05,49,False
2013-12-06,47,False
2013-12-07,19,False
2013-12-08,24,False
2013-12-09,61,False
2013-12-10,53,False
2013-12-11,65,False
2013-12-12,42,False
2013-12-13,100,False
2013-12-14,40,False
2013-12-15,20,False
2013-12-16,54,False
2013-12-17,55,False
2013-12-18,93,False
2013-12-19,70,False
2013-12-20,32,False
2013-12-21,25,False
2013-12-22,10,False
2013-12-23,50,False
2013-12-24,35,False
2013-12-25,17,False
2013-12-26,56,False
2013-12-27,37,False
2013-12-28,20,False
2013-12-29,0,False
2013-12-30,49,False
2013-12-31,55,False
