date,FB stock,isPartial
2012-03-01,53,False
2012-03-02,77,False
2012-03-03,38,False
2012-03-04,37,False
2012-03-05,53,False
2012-03-06,50,False
2012-03-07,70,False
2012-03-08,41,False
2012-03-09,85,False
2012-03-10,25,False
2012-03-11,48,False
2012-03-12,100,False
2012-03-13,71,False
2012-03-14,51,False
2012-03-15,82,False
2012-03-16,43,False
2012-03-17,0,False
2012-03-18,24,False
2012-03-19,51,False
2012-03-20,20,False
2012-03-21,41,False
2012-03-22,21,False
2012-03-23,22,False
2012-03-24,75,False
2012-03-25,50,False
2012-03-26,71,False
2012-03-27,30,False
2012-03-28,41,False
2012-03-29,21,False
2012-03-30,44,False
2012-03-31,25,False
