date,SYMC stock,isPartial
2014-04-01,97,False
2014-04-02,79,False
2014-04-03,39,False
2014-04-04,41,False
2014-04-05,46,False
2014-04-06,45,False
2014-04-07,38,False
2014-04-08,58,False
2014-04-09,39,False
2014-04-10,40,False
2014-04-11,42,False
2014-04-12,47,False
2014-04-13,0,False
2014-04-14,40,False
2014-04-15,79,False
2014-04-16,100,False
2014-04-17,42,False
2014-04-18,45,False
2014-04-19,0,False
2014-04-20,0,False
2014-04-21,42,False
2014-04-22,58,False
2014-04-23,65,False
2014-04-24,79,False
2014-04-25,41,False
2014-04-26,46,False
2014-04-27,0,False
2014-04-28,39,False
2014-04-29,38,False
2014-04-30,0,False
