date,MCD stock,isPartial
2012-09-01,59,False
2012-09-02,35,False
2012-09-03,0,False
2012-09-04,47,False
2012-09-05,57,False
2012-09-06,72,False
2012-09-07,71,False
2012-09-08,35,False
2012-09-09,35,False
2012-09-10,42,False
2012-09-11,74,False
2012-09-12,70,False
2012-09-13,100,False
2012-09-14,29,False
2012-09-15,68,False
2012-09-16,34,False
2012-09-17,56,False
2012-09-18,83,False
2012-09-19,65,False
2012-09-20,75,False
2012-09-21,69,False
2012-09-22,34,False
2012-09-23,0,False
2012-09-24,55,False
2012-09-25,83,False
2012-09-26,55,False
2012-09-27,28,False
2012-09-28,79,False
2012-09-29,51,False
2012-09-30,33,False
